rank,category,racename,race_id,rider_name,rider_id,points,jpp
1,2.1s,"La Tropicale Amissa Bongo, Stage 2 : Oyem - Mitzic (prov.)",40881,TESSON Jason,29883,0.0,0
1,2.PSs,"Vuelta a San Juan, Stage 2 : Villa San Agustin - San Jose de Jachal (prov.)",40867,JAKOBSEN Fabio,23426,0.0,0
1,2.1s,"La Tropicale Amissa Bongo, Stage 1 : Bitam - Oyem (prov.)",40880,SOUPE Geoffrey,13560,0.0,0
1,2.WT1,"Tour Down Under, General classification",40865,VINE Jay,29568,0.0,0
2,2.WT1,"Tour Down Under, General classification",40865,YATES Simon,17893,0.0,0
3,2.WT1,"Tour Down Under, General classification",40865,BILBAO LOPEZ DE ARMENTIA Pello,17881,0.0,0
4,2.WT1,"Tour Down Under, General classification",40865,SHEFFIELD Magnus,31598,0.0,0
5,2.WT1,"Tour Down Under, General classification",40865,SCHMID Mauro,29214,0.0,0
6,2.WT1,"Tour Down Under, General classification",40865,O'CONNOR Ben,23763,0.0,0
7,2.WT1,"Tour Down Under, General classification",40865,BYSTRØM Sven Erik,18608,0.0,0
8,2.WT1,"Tour Down Under, General classification",40865,TIBERI Antonio,30649,0.0,0
9,2.WT1,"Tour Down Under, General classification",40865,IZAGIRRE INSAUSTI Gorka,10070,0.0,0
10,2.WT1,"Tour Down Under, General classification",40865,COQUARD Bryan,18714,0.0,0
1,2.WT1s,"Tour Down Under, Stage 5 : Unley - Mount Lofty",40864,YATES Simon,17893,0.0,0
1,2.WT1r,"Tour Down Under, Mountains classification",40936,HONORE Mikkel Frølich,25629,0.0,0
1,2.WT1r,"Tour Down Under, Points classification",40935,MATTHEWS Michael,13066,0.0,0
1,2.PSs,"Vuelta a San Juan, Stage 1 : San Juan - San Juan (prov.)",40866,BENNETT Sam,13362,0.0,0
1,1.1,GP Valencia,40897,DE LIE Arnaud,32221,0.0,0
2,1.1,GP Valencia,40897,BIERMANS Jenthe,22010,0.0,0
3,1.1,GP Valencia,40897,BOASSON HAGEN Edvald,4377,0.0,0
1,2.WT1s,"Tour Down Under, Stage 4 : Port Willunga - Willunga",40863,COQUARD Bryan,18714,0.0,0
1,2.WT1s,"Tour Down Under, Stage 3 : Norwood - Campbeltown",40862,BILBAO LOPEZ DE ARMENTIA Pello,17881,0.0,0
1,2.WT1s,"Tour Down Under, Stage 2 : Brighton - Victor Harbor",40861,DENNIS Rohan,12823,0.0,0
1,2.WT1s,"Tour Down Under, Stage 1 : Tanunda - Tanunda",40860,BAUHAUS Phil,20861,0.0,0
