startdate,enddate,race,race_id,category,points,JPP
2023-01-17,2023-01-22,Tour Down Under,1,2.WT1,14.7,208
2023-01-22,,Clàssica Comunitat Valenciana 1969,411,1.1,2.4,0
2023-01-22,2023-01-29,Vuelta a San Juan,5247,2.PS,5.5,208
2023-01-23,2023-01-29,Tropicale Amissa Bongo,117,2.1,2.4,0
2023-01-25,,Trofeo Calvia,271,1.1,2.4,0
2023-01-26,,Trofeo Alcudia - Port d'Alcudia,273,1.1,2.4,0
2023-01-27,,Trofeo Andratx,274,1.1,2.4,0
2023-01-28,,Trofeo Serra de Tramuntana,100,1.1,2.4,0
2023-01-29,,Cadel Road Race,1172,1.WT3,8.0,208
2023-01-29,,Trofeo Palma,83,1.1,2.4,0
2023-01-29,,GP la Marseillaise,97,1.1,2.4,0
2023-01-30,2023-02-03,Saudi Tour,868,2.1,2.4,0
2023-02-01,2023-02-05,Volta Comunitat Valenciana,319,2.PS,5.5,208
2023-02-01,2023-02-05,Étoile de Bessèges,106,2.1,2.4,0
2023-02-09,,CC Africa ITT,369,CCTT,0,0
2023-02-10,,Muscat Classic,18946,1.1,2.4,0
2023-02-11,2023-02-15,Tour of Oman,57,2.PS,5.5,208
2023-02-11,,Vuelta a Murcia,74,1.1,2.4,0
2023-02-12,,Figueira Champions Classic,18947,1.1,2.4,0
2023-02-12,,Clasica de Almeria,129,1.PS,5.5,208
2023-02-13,,CC Africa RR,370,CCRR,0,0
2023-02-13,,Jaén Paraiso Interior,16519,1.1,2.4,0
2023-02-15,2023-02-19,Vuelta a Andalucía,110,2.PS,5.5,208
2023-02-15,2023-02-19,Volta ao Algarve,107,2.PS,5.5,208
2023-02-17,2023-02-19,Tour Alpes Maritimes du Var,111,2.1,2.4,0
2023-02-19,2023-02-26,Tour of Rwanda,450,2.1,2.4,0
2023-02-20,2023-02-26,UAE Tour,9800,2.WT3,8.0,208
2023-02-23,2023-02-26,Gran Camiño,16526,2.1,2.4,0
2023-02-25,,Omloop Het Nieuwsblad,53,1.WT3,8.0,208
2023-02-25,,Faun-Ardèche Classic,121,1.PS,5.5,208
2023-02-26,,La Drome Classic,432,1.PS,5.5,208
2023-02-26,,Kuurne-Brussel-Kuurne,84,1.PS,5.5,208
2023-02-28,,Le Samyn,116,1.1,2.4,0
2023-03-01,,Trofeo Laigueglia,112,1.PS,5.5,208
2023-03-04,,GP Criquielion,539,1.1,2.4,0
2023-03-04,,Strade Bianche,54,1.WT2,14.7,208
2023-03-05,,GP Jean-Pierre Monseré,2729,1.1,2.4,0
2023-03-05,2023-03-12,Paris-Nice,2,2.WT1,14.7,208
2023-03-06,2023-03-12,Tirreno-Adriatico,3,2.WT1,14.7,208
2023-03-12,,Ronde van Drenthe,131,1.1,2.4,0
2023-03-12,2023-03-16,Tour de Taiwan,132,2.1,2.4,0
2023-03-15,,Milano - Torino,89,1.PS,5.5,208
2023-03-15,,Nokere Koerse,122,1.PS,5.5,208
2023-03-16,,GP de Denain,146,1.PS,5.5,208
2023-03-17,,Bredene Koksijde Classic,123,1.PS,5.5,208
2023-03-18,,Classic Loire Atlantique,124,1.1,2.4,0
2023-03-18,,Milano-Sanremo,4,1.WT1,21.5,208
2023-03-19,,Cholet - Pays de la Loire,125,1.1,2.4,0
2023-03-19,,Per Sempre Alfredo,15066,1.1,2.4,0
2023-03-20,2023-03-26,Volta Catalunya,14,2.WT1,14.7,208
2023-03-21,2023-03-25,Coppi e Bartali,114,2.1,2.4,0
2023-03-22,,Classic Brugge-De Panne,40,1.WT3,8.0,208
2023-03-24,,E3 Saxo Classic,47,1.WT3,8.0,208
2023-03-26,,Gent - Wevelgem,7,1.WT2,14.7,208
2023-03-26,,GP Industria & Artigianato,263,1.PS,5.5,208
2023-03-26,,La Roue Tourangelle,260,1.1,2.4,0
2023-03-29,,Dwars door Vlaanderen,75,1.WT3,8.0,208
2023-03-30,,CC Oceania ITT,358,CCTT,0,0
2023-03-31,,Route Adélie de Vitré,134,1.1,2.4,0
2023-04-01,,CC Oceania RR,357,CCRR,0,0
2023-04-01,2023-04-06,Tour of Thailand,507,2.1,2.4,0
2023-04-01,,GP Miguel Indurain,48,1.PS,5.5,208
2023-04-01,,Volta Limburg Classic,126,1.1,2.4,0
2023-04-02,,Ronde van Vlaanderen,5,1.WT1,21.5,208
2023-04-03,2023-04-08,Itzulia Basque Country,6,2.WT1,14.7,208
2023-04-04,2023-04-07,Pays de la Loire Tour,217,2.1,2.4,0
2023-04-05,,Scheldeprijs,56,1.PS,5.5,208
2023-04-09,,Paris-Roubaix,8,1.WT1,21.5,208
2023-04-11,,Paris - Camembert,145,1.1,2.4,0
2023-04-11,2023-04-14,Giro di Sicilia,11248,2.1,2.4,0
2023-04-12,,Brabantse Pijl,77,1.PS,5.5,208
