rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,NC5,National Championships Philippines (Tagaytay) R.R. (prov.),41477,CARCUEVA Jonel,27578,1,0,2023-06-30,-
1,NCT5,National Championships Greece (Aliartos) I.T.T. (prov.),41724,GIANNOUTSOS Miltiadis,27213,0.5,0,2023-06-30,-
1,NCT5,National Championships Philippines (Tagaytay) I.T.T. (prov.),41476,PASCUAL Joshua,35158,0.5,0,2023-06-28,-
1,1.WT3,National Championships Belgium (Izegem) R.R.,41652,EVENEPOEL Remco,28377,5,50,2023-06-25,Roy
2,1.WT3,National Championships Belgium (Izegem) R.R.,41652,SEGAERT Alec,33567,2,35,2023-06-25,-
3,1.WT3,National Championships Belgium (Izegem) R.R.,41652,STUYVEN Jasper,18233,1,25,2023-06-25,PB
4,1.WT3,National Championships Belgium (Izegem) R.R.,41652,BENOOT Tiesj,21244,0,20,2023-06-25,Paul
5,1.WT3,National Championships Belgium (Izegem) R.R.,41652,DE BUYST Jasper,19274,0,18,2023-06-25,-
6,1.WT3,National Championships Belgium (Izegem) R.R.,41652,DEWULF Stan,25655,0,16,2023-06-25,Kaspar
7,1.WT3,National Championships Belgium (Izegem) R.R.,41652,CAMPENAERTS Victor,20184,0,14,2023-06-25,Vel
8,1.WT3,National Championships Belgium (Izegem) R.R.,41652,DUPONT Timothy,7948,0,12,2023-06-25,-
9,1.WT3,National Championships Belgium (Izegem) R.R.,41652,VAN ASBROECK Tom,18504,0,10,2023-06-25,-
10,1.WT3,National Championships Belgium (Izegem) R.R.,41652,VAN KEIRSBULCK Guillaume,16718,0,8,2023-06-25,-
1,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,MADOUAS Valentin,24758,5,50,2023-06-25,PB
2,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,MOLARD Rudy,11818,2,35,2023-06-25,-
3,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,BERNARD Julien,23357,1,25,2023-06-25,-
4,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,GALLOPIN Tony,7838,0,20,2023-06-25,-
5,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,PETERS Nans,22703,0,18,2023-06-25,-
6,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,GESBERT Elie,22912,0,16,2023-06-25,-
7,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,PINOT Thibaut,13080,0,14,2023-06-25,Nicky
8,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,LOUVEL Matis,29982,0,12,2023-06-25,Paul
9,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,PEREZ Anthony,17632,0,10,2023-06-25,-
10,1.WT3,National Championships France (Hazebrouck-Cassel) R.R.,41654,JARNET Maxime,28630,0,8,2023-06-25,-
1,1.1,National Championships Slovenia (Radovljica) R.R.,41660,POGACAR Tadej,26526,2,0,2023-06-25,Kees
2,1.1,National Championships Slovenia (Radovljica) R.R.,41660,MEZGEC Luka,15789,0.3,0,2023-06-25,-
3,1.1,National Championships Slovenia (Radovljica) R.R.,41660,MOHORIC Matej,21145,0.1,0,2023-06-25,Frank
1,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,41656,LAZKANO LOPEZ Oier,30595,5,50,2023-06-25,-
2,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,41656,AYUSO PESQUERA Juan,31654,2,35,2023-06-25,Albert
