"['27716', 'ARENSMAN Thymen', 'ARENSMAN Thymen', 'Kaspar', '13', 'IGD', 'NED', '24', Decimal('0'), 0]"
"['20770', 'BOUWMAN Koen', 'BOUWMAN Koen', 'Kaspar', '4', 'TJV', 'NED', '30', Decimal('0'), 0]"
"['3448', 'CAVENDISH Mark', 'CAVENDISH Mark', 'Kaspar', '4', '???', 'GBR', '38', Decimal('0'), 0]"
"['9851', 'DEGENKOLB John', 'DEGENKOLB John', 'Kaspar', '1', 'DSM', 'GER', '34', Decimal('0'), 0]"
"['25655', 'DEWULF Stan', 'DEWULF Stan', 'Kaspar', '0', 'ACT', 'BEL', '26', Decimal('0'), 0]"
"['25026', 'HIGUITA Sergio', 'HIGUITA GARCIA Sergio Andres', 'Kaspar', '15', 'BOH', 'COL', '26', Decimal('0'), 0]"
"['23948', 'HINDLEY Jai', 'HINDLEY Jai', 'Kaspar', '13', 'BOH', 'AUS', '27', Decimal('0'), 0]"
"['23426', 'JAKOBSEN Fabio', 'JAKOBSEN Fabio', 'Kaspar', '23', 'SOQ', 'NED', '27', Decimal('0.3'), 0]"
"['19953', 'LAPORTE Christophe', 'LAPORTE Christophe', 'Kaspar', '15', 'TJV', 'FRA', '31', Decimal('0'), 0]"
"['20156', 'LATOUR Pierre', 'LATOUR Pierre', 'Kaspar', '2', 'TEN', 'FRA', '30', Decimal('0'), 0]"
"['30166', 'SKJELMOSE Mattias', 'SKJELMOSE JENSEN Mattias', 'Kaspar', '7', 'TFS', 'DEN', '23', Decimal('0'), 0]"
"['28234', 'TESFATSION Natnael', 'TESFATSION Natnael Ocbit', 'Kaspar', '3', 'TFS', 'ERI', '24', Decimal('0'), 0]"
