renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
31654,AYUSO Juan,AYUSO PESQUERA Juan,Albert,21,UAD,ESP,21,0,0
28452,BAGIOLI Andrea,BAGIOLI Andrea,Albert,2,SOQ,ITA,24,0,0
16936,CATTANEO Mattia,CATTANEO Mattia,Albert,1,SOQ,ITA,33,0,0
12823,DENNIS Rohan,DENNIS Rohan,Albert,1,TJV,AUS,33,1,0
20777,GAVIRIA Fernando,GAVIRIA RENDON Fernando,Albert,3,MOV,COL,29,0.3,14
19548,GROSSSCHARTNER Felix,GROSSSCHARTNER Felix,Albert,1,UAD,AUT,30,0,0
25289,HAMILTON Lucas,HAMILTON Lucas,Albert,1,JAY,AUS,27,0,0
29436,HEIDUK Kim,HEIDUK Kim,Albert,0,IGD,GER,23,0,0
4819,HERMANS Ben,HERMANS Ben,Albert,1,IPT,BEL,37,0,0
26396,HODEG Alvaro,HODEG CHAGUI Alvaro Jose,Albert,1,UAD,COL,26,0,0
22702,HOFSTETTER Hugo,HOFSTETTER Hugo,Albert,2,ARK,FRA,29,0,0
31567,JOHANNESSEN Tobias,JOHANNESSEN Tobias Halland,Albert,2,UXT,NOR,24,0,0
28057,JORGENSON Matteo,JORGENSON Matteo,Albert,1,MOV,USA,24,4.3,50
15171,KELDERMAN Wilco,KELDERMAN Wilco,Albert,2,TJV,NED,32,0,0
16058,KONRAD Patrick,KONRAD Patrick,Albert,1,BOH,AUT,32,0,0
30643,KOOIJ Olav,KOOIJ Olav,Albert,13,TJV,NED,22,0,0
32946,MIHKELS Madis,MIHKELS Madis,Albert,1,ICW,EST,20,0,0
30663,PAGE Hugo,PAGE Hugo,Albert,1,ICW,FRA,22,2,35
30648,PICCOLO Andrea,PICCOLO Andrea,Albert,3,EFE,ITA,22,0,0
27708,PIDCOCK Thomas,PIDCOCK Thomas,Albert,20,IGD,GBR,24,0,0
20847,POLITT Nils,POLITT Nils,Albert,3,BOH,GER,29,0,0
333,SANCHEZ Luis Leon,SANCHEZ GIL Luis Leon,Albert,1,AST,ESP,40,0,0
19165,TEUNISSEN Mike,TEUNISSEN Mike,Albert,2,ICW,NED,31,0,0
27085,THIJSSEN Gerben,THIJSSEN Gerben,Albert,1,ICW,BEL,25,0,0
30630,TULETT Ben,TULETT Ben,Albert,3,IGD,GBR,22,0,0
3333,VAN AVERMAET Greg,VAN AVERMAET Greg,Albert,1,ACT,BEL,38,0,0
31264,VAUQUELIN Kévin,VAUQUELIN Kévin,Albert,2,ARK,FRA,22,0.2,0
28127,VERMEERSCH Florian,VERMEERSCH Florian,Albert,2,LTD,BEL,24,0,0
16722,WELLENS Tim,WELLENS Tim,Albert,5,UAD,BEL,32,0.4,0
20257,WOODS Michael,WOODS Michael,Albert,2,IPT,CAN,37,0,0
