renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
22692,BONNAMOUR Franck,BONNAMOUR Franck,Frank,2,???,FRA,28,0,0
26277,CONCI Nicola,CONCI Nicola,Frank,1,ADC,ITA,26,0,0
31449,GLOAG Thomas,GLOAG Thomas,Frank,1,TJV,GBR,22,0,0
19238,GROENEWEGEN Dylan,GROENEWEGEN Dylan,Frank,14,JAY,NED,30,0,0
22077,HERMANS Quinten,HERMANS Quinten,Frank,1,ADC,BEL,28,0,0
24961,KANTER Max,KANTER Max,Frank,2,MOV,GER,26,0,0
21145,MOHORIC Matej,MOHORIC Matej,Frank,16,TBV,SLO,29,0,0
27072,OLDANI Stefano,OLDANI Stefano,Frank,1,ADC,ITA,25,0,0
29528,PLOWRIGHT Jensen,PLOWRIGHT Jensen,Frank,1,ADC,AUS,23,0,0
27024,RUBIO Einer Augusto,RUBIO REYES Einer Augusto,Frank,0,MOV,COL,25,0,20
20730,VAN AERT Wout,VAN AERT Wout,Frank,61,TJV,BEL,29,0,0
