renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
23940,ARANBURU Alexander,ARANBURU DEBA Alexander,Jan,3,MOV,ESP,28,0,26
13566,BARDET Romain,BARDET Romain,Jan,6,DSM,FRA,33,0,14
15791,BEVIN Patrick,BEVIN Patrick,Jan,1,DSM,NZL,32,0,0
17881,BILBAO Pello,BILBAO LOPEZ DE ARMENTIA Pello,Jan,6,TBV,ESP,33,2,79
29699,BUITRAGO Santiago,BUITRAGO SANCHEZ Santiago,Jan,2,TBV,COL,24,0.6,25
21439,CALMEJANE Lilian,CALMEJANE Lilian,Jan,1,ICW,FRA,31,0,0
6177,CARUSO Damiano,CARUSO Damiano,Jan,1,TBV,ITA,36,0,14
27153,CHAMPOUSSIN Clément,CHAMPOUSSIN Clément,Jan,1,ARK,FRA,25,0,18
16941,CHAVES Jhoan,CHAVES RUBIO Jhoan Esteban,Jan,1,EFE,COL,33,5,50
18714,COQUARD Bryan,COQUARD Bryan,Jan,2,COF,FRA,31,1,8
28298,COVI Alessandro,COVI Alessandro,Jan,3,UAD,ITA,25,0.5,25
30562,FISHER-BLACK Finn,FISHER-BLACK Finn,Jan,1,UAD,NZL,22,0,0
24057,GANNA Filippo,GANNA Filippo,Jan,16,IGD,ITA,27,6,113
22683,GUERREIRO Ruben,GUERREIRO Ruben Antonio Almeida,Jan,1,MOV,POR,29,2.3,0
27025,HAYTER Ethan,HAYTER Ethan,Jan,19,IGD,GBR,25,0,0
23427,KÄMNA Lennard,KÄMNA Lennard,Jan,5,BOH,GER,27,0.5,20
26197,LAFAY Victor,LAFAY Victor,Jan,2,COF,FRA,27,0,20
31621,LAURANCE Axel,LAURANCE Axel,Jan,1,ADD,FRA,22,0,0
19994,MARTIN Guillaume,MARTIN Guillaume,Jan,4,COF,FRA,30,0,12
29214,SCHMID Mauro,SCHMID Mauro,Jan,4,SOQ,SUI,24,2.2,18
31598,SHEFFIELD Magnus,SHEFFIELD Magnus,Jan,6,IGD,USA,21,0.5,20
7834,SIMON Julien,SIMON Julien,Jan,1,TEN,FRA,38,0,0
25081,STEIMLE Jannik,STEIMLE Jannik,Jan,1,SOQ,GER,27,0,0
28437,STEWART Jake,STEWART Jake,Jan,2,GFC,GBR,24,0,0
29883,TESSON Jason,TESSON Jason,Jan,1,TEN,FRA,25,0.4,12
19242,VAN POPPEL Danny,VAN POPPEL Danny,Jan,1,BOH,NED,30,0,10
28579,VAN TRICHT Stan,VAN TRICHT Stan,Jan,1,SOQ,BEL,24,0,0
30636,VAN UDEN Casper,VAN UDEN Casper,Jan,1,DSM,NED,22,0.5,25
7728,VANMARCKE Sep,VANMARCKE Sep,Jan,1,IPT,BEL,35,1,49
28446,WRIGHT Fred,WRIGHT Fred,Jan,5,TBV,GBR,24,0,12
