renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
27716,ARENSMAN Thymen,ARENSMAN Thymen,Kaspar,13,IGD,NED,24,0,0
20770,BOUWMAN Koen,BOUWMAN Koen,Kaspar,4,TJV,NED,30,0,0
3448,CAVENDISH Mark,CAVENDISH Mark,Kaspar,4,???,GBR,38,0.5,25
9851,DEGENKOLB John,DEGENKOLB John,Kaspar,1,DSM,GER,34,0,0
25655,DEWULF Stan,DEWULF Stan,Kaspar,0,ACT,BEL,26,0,0
25026,HIGUITA Sergio,HIGUITA GARCIA Sergio Andres,Kaspar,15,BOH,COL,26,2.5,60
23948,HINDLEY Jai,HINDLEY Jai,Kaspar,13,BOH,AUS,27,0,12
23426,JAKOBSEN Fabio,JAKOBSEN Fabio,Kaspar,23,SOQ,NED,27,1.3,28
19953,LAPORTE Christophe,LAPORTE Christophe,Kaspar,15,TJV,FRA,31,16,141
20156,LATOUR Pierre,LATOUR Pierre,Kaspar,2,TEN,FRA,30,0.1,8
30166,SKJELMOSE Mattias,SKJELMOSE JENSEN Mattias,Kaspar,7,TFS,DEN,23,1.7,66
28234,TESFATSION Natnael,TESFATSION Natnael Ocbit,Kaspar,3,TFS,ERI,24,0,20
