renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
26388,BJERG Mikkel,BJERG Mikkel,Kees,2,UAD,DEN,25,0,18
3828,FUGLSANG Jakob,FUGLSANG Jakob,Kees,1,IPT,DEN,38,0,0
14310,MAJKA Rafal,MAJKA Rafal,Kees,1,UAD,POL,34,0,0
32721,MARTINEZ Lenny,MARTINEZ Lenny,Kees,1,GFC,FRA,20,0,0
26508,MCNULTY Brandon,MCNULTY Brandon,Kees,7,UAD,USA,25,0,12
26526,POGACAR Tadej,POGACAR Tadej,Kees,83,UAD,SLO,25,19.9,100
16739,SKUJINS Toms,SKUJINS Toms,Kees,0,TFS,LAT,32,0,0
26409,STANNARD Robert,STANNARD Robert,Kees,2,ADC,AUS,25,0,0
12748,TRATNIK Jan,TRATNIK Jan,Kees,1,TJV,SLO,33,0,0
27198,VALTER Attila,VALTER Attila,Kees,2,TJV,HUN,25,0.2,18
