renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
24794,AFFINI Edoardo,AFFINI Edoardo,Paul,3,TJV,ITA,27,0,0
21244,BENOOT Tiesj,BENOOT Tiesj,Paul,1,TJV,BEL,29,0,0
24926,BERNAL Egan,BERNAL GOMEZ Egan Arley,Paul,28,IGD,COL,26,0,0
16881,BOUHANNI Nacer,BOUHANNI Nacer,Paul,2,ARK,FRA,33,0,0
27151,BURGAUDEAU Mathieu,BURGAUDEAU Mathieu,Paul,1,TEN,FRA,25,0,0
23765,DUNBAR Eddie,DUNBAR Eddie,Paul,2,JAY,IRL,27,0,0
19651,EWAN Caleb,EWAN Caleb,Paul,16,LTD,AUS,29,0,16
22018,GEOGHEGAN HART Tao,GEOGHEGAN HART Tao,Paul,2,IGD,GBR,28,0.8,41
21212,HAIG Jack,HAIG Jack,Paul,1,TBV,AUS,30,0,0
17534,HERRADA Jesus,HERRADA LOPEZ Jesus,Paul,2,COF,ESP,33,0.3,14
26420,KRON Andreas,KRON Andreas Lorentz,Paul,1,LTD,DEN,25,0,10
27653,LEKNESSUND Andreas,LEKNESSUND Andreas,Paul,2,DSM,NOR,24,0,0
29982,LOUVEL Matis,LOUVEL Matis,Paul,3,ARK,FRA,24,0,0
20535,MASNADA Fausto,MASNADA Fausto,Paul,2,SOQ,ITA,30,0,0
21958,ROTA Lorenzo,ROTA Lorenzo,Paul,3,ICW,ITA,28,0,26
24934,SIVAKOV Pavel,SIVAKOV Pavel,Paul,7,IGD,FRA,26,0,8
23641,THOMAS Benjamin,THOMAS Benjamin,Paul,3,COF,FRA,28,0,0
10023,ULISSI Diego,ULISSI Diego,Paul,2,UAD,ITA,34,0.3,18
18247,VERMEERSCH Gianni,VERMEERSCH Gianni,Paul,0,ADC,BEL,31,0,0
13240,VIVIANI Elia,VIVIANI Elia,Paul,3,IGD,ITA,34,0,0
18975,YATES Adam,YATES Adam,Paul,12,UAD,GBR,31,0,0
31263,ZINGLE Axel,ZINGLE Axel,Paul,4,COF,FRA,25,0,0
