rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,1.WT1,Il Lombardia (prov.),42273,POGACAR Tadej,26526,15,50,2023-10-07,Kees
2,1.WT1,Il Lombardia (prov.),42273,BAGIOLI Andrea,28452,3,35,2023-10-07,Albert
3,1.WT1,Il Lombardia (prov.),42273,ROGLIC Primoz,20719,2,25,2023-10-07,Bram
4,1.WT1,Il Lombardia (prov.),42273,VLASOV Aleksandr,24316,1,20,2023-10-07,Harry
5,1.WT1,Il Lombardia (prov.),42273,YATES Simon,17893,0.5,18,2023-10-07,PB
6,1.WT1,Il Lombardia (prov.),42273,YATES Adam,18975,0,16,2023-10-07,Paul
7,1.WT1,Il Lombardia (prov.),42273,RODRIGUEZ CANO Carlos,30836,0,14,2023-10-07,Roy
8,1.WT1,Il Lombardia (prov.),42273,CARAPAZ MONTENEGRO Richard Antonio,21342,0,12,2023-10-07,Wijnand
9,1.WT1,Il Lombardia (prov.),42273,EVENEPOEL Remco,28377,0,10,2023-10-07,Roy
10,1.WT1,Il Lombardia (prov.),42273,KRON Andreas Lorentz,26420,0,8,2023-10-07,Paul
1,2.PSs,"Tour of Hainan, Stage 3 : Baoting - Wuzhishan (prov.)",42308,PICCOLI James,21644,0.3,0,2023-10-07,-
1,2.1s,"Tour de Kyushu, Stage 1 : Kitakyushu - Omuta (prov.)",42312,KOJIMA Naoki,31960,0.2,0,2023-10-07,-
1,2.PSs,"Tour of Hainan, Stage 2 : Qionghai - Baoting (prov.)",42307,BERWICK Sebastian,29490,0.3,0,2023-10-06,-
1,1.PS,Gran Piemonte,42272,BAGIOLI Andrea,28452,4,50,2023-10-05,Albert
2,1.PS,Gran Piemonte,42272,HIRSCHI Marc,26509,1,35,2023-10-05,Bram
3,1.PS,Gran Piemonte,42272,ARANBURU DEBA Alexander,23940,0.5,25,2023-10-05,Jan
4,1.PS,Gran Piemonte,42272,GANNA Filippo,24057,0,20,2023-10-05,Jan
5,1.PS,Gran Piemonte,42272,COSTA Rui Alberto Faria,6807,0,18,2023-10-05,-
6,1.PS,Gran Piemonte,42272,ZIMMERMANN Georg,25165,0,16,2023-10-05,-
7,1.PS,Gran Piemonte,42272,MARCELLUSI Martin,29845,0,14,2023-10-05,-
8,1.PS,Gran Piemonte,42272,TEJADA CANACUE Harold Alfonso,26813,0,12,2023-10-05,-
9,1.PS,Gran Piemonte,42272,TIBERI Antonio,30649,0,10,2023-10-05,-
